KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
CLE-LAC-01/29/2023,CLE,CLE vs. LAC,01/29/2023,W,12.0,31,11,20,0.55,4,8,0.5,5,6,0.833,1,12,13,8,2.0,2,2,5,16.0,LAC,LAC @ CLE,01/29/2023,L,12.0,15,5,23,0.217,0,9,0.0,5,6,0.833,3,8,11,2,3.0,1,0,6,-16.0
MEM-IND-01/29/2023,MEM,MEM vs. IND,01/29/2023,W,12.0,23,9,26,0.346,2,13,0.154,3,3,1.0,3,6,9,6,1.0,4,0,5,-9.0,IND,IND @ MEM,01/29/2023,L,12.0,32,10,16,0.625,3,7,0.429,9,9,1.0,0,13,13,6,4.0,1,0,4,9.0
CHA-MIA-01/29/2023,CHA,CHA vs. MIA,01/29/2023,W,12.0,26,10,22,0.455,3,12,0.25,3,5,0.6,4,8,12,6,4.0,2,0,6,-2.0,MIA,MIA @ CHA,01/29/2023,L,12.0,28,12,23,0.522,1,4,0.25,3,5,0.6,2,7,9,5,3.0,3,0,4,2.0
POR-TOR-01/28/2023,POR,POR vs. TOR,01/28/2023,L,12.0,14,6,22,0.273,0,5,0.0,2,3,0.667,1,5,6,3,2.0,0,0,2,-23.0,TOR,TOR @ POR,01/28/2023,W,12.0,37,16,23,0.696,4,7,0.571,1,2,0.5,2,12,14,9,0.0,0,1,4,23.0
UTA-DAL-01/28/2023,UTA,UTA vs. DAL,01/28/2023,W,12.0,34,12,18,0.667,3,6,0.5,7,8,0.875,0,10,10,8,3.0,2,2,6,11.0,DAL,DAL @ UTA,01/28/2023,L,12.0,23,9,21,0.429,2,8,0.25,3,5,0.6,1,6,7,7,3.0,1,0,4,-11.0
DET-HOU-01/28/2023,DET,DET vs. HOU,01/28/2023,L,12.0,37,11,17,0.647,4,5,0.8,11,12,0.917,1,7,8,5,5.0,2,1,4,10.0,HOU,HOU @ DET,01/28/2023,W,12.0,27,12,27,0.444,1,8,0.125,2,3,0.667,7,5,12,5,4.0,3,0,7,-10.0
PHI-DEN-01/28/2023,PHI,PHI vs. DEN,01/28/2023,W,12.0,29,12,23,0.522,4,8,0.5,1,5,0.2,3,7,10,8,4.0,2,0,4,-9.0,DEN,DEN @ PHI,01/28/2023,L,12.0,38,14,24,0.583,5,11,0.455,5,6,0.833,1,10,11,11,2.0,2,3,3,9.0
MIN-SAC-01/28/2023,MIN,MIN vs. SAC,01/28/2023,W,12.0,29,11,22,0.5,7,13,0.538,0,0,0.0,3,11,14,7,5.0,1,1,8,8.0,SAC,SAC @ MIN,01/28/2023,L,12.0,21,6,22,0.273,1,8,0.125,8,10,0.8,5,8,13,4,2.0,1,0,3,-8.0
SAS-PHX-01/28/2023,SAS,SAS vs. PHX,01/28/2023,L,12.0,26,10,24,0.417,2,8,0.25,4,5,0.8,4,6,10,8,4.0,2,0,4,-7.0,PHX,PHX @ SAS,01/28/2023,W,12.0,33,12,23,0.522,3,6,0.5,6,6,1.0,5,7,12,8,2.0,1,0,5,7.0
BKN-NYK-01/28/2023,BKN,BKN vs. NYK,01/28/2023,W,12.0,28,12,24,0.5,4,9,0.444,0,0,0.0,4,6,10,7,2.0,3,0,3,6.0,NYK,NYK @ BKN,01/28/2023,L,12.0,22,8,16,0.5,4,9,0.444,2,4,0.5,1,6,7,4,4.0,1,3,4,-6.0
